community_name,zip_code,restriction_type,wet_dry_status,restriction_description,limitation,effective_date,is_unincorporated
Akiak,99552,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,9/22/2021,False
Akiachak,99551,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,10/22/2001,True
Alakanuk,99554,ban_sale_import,dry,Sale and importation banned; personal possession allowed,,3/1/1990,False
Aleknagik,99555,sale_specific_type,damp,Sale allowed only under specific license type,Outdoor Recreation Lodge License Only,7/1/2011,False
Allakaket,99720,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,8/17/1989,False
Ambler,99786,ban_sale_import,dry,Sale and importation banned; personal possession allowed,,1/1/1982,False
Anvik,99558,ban_sale,damp,Sale banned but importation for personal use allowed,,2/1/2002,False
Anaktuvuk Pass,99721,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,1/1/1987,False
Angoon,99820,ban_sale_import,dry,Sale and importation banned; personal possession allowed,,2/1/2013,False
Atmautluak,99559,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,5/1/1982,True
Atqasuk,99791,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,6/30/2003,False
Beaver,99724,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,8/1/2004,True
Bethel,99559,sale_specific_type,damp,Sale allowed only under specific license type,Restaurant/Eating Place License Only,10/8/2019,False
Birch Creek,99740,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,11/1/1987,True
Brevig Mission,99785,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,5/3/1999,False
Buckland,99727,ban_sale_import,dry,Sale and importation banned; personal possession allowed,,6/1/1982,False
Chalkyitsik,99788,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,8/1/1982,True
Chefornak,99561,ban_sale_import_possess,dry,"Sale, importation, and possession of alcohol banned",,11/1/1982,False
Chevak,99563,ban_sale_import,dry,Sale and importation banned; personal possession allowed,,11/1/1990,False
Deering,99736,ban_sale_import,dry,Sale and importation banned; personal possession allowed,,7/1/1982,False
