objectid,county,name,type,notes,updated,agent_region,munidate,Shape__Area,Shape__Length
1,Carroll,Carroll County,Wet,,,4,,550266303.0160866,235540.08996930197
2,Union,City Of El Dorado Country Box 3,Dry,,,8,1729641600000,75723511.06684466,40175.66775408976
3,Union,City Of El Dorado Country Box 4,Dry,,,8,1729641600000,43947643.97047421,31144.944017674672
4,Washington,Historic Crawford Township,Dry,,,3,,61549391.13104617,42894.10527052445
5,Carroll,Historic Polo Township,Dry,,,4,,102477969.18837091,51155.083182145245
6,Washington,Historic Greenland Township,Dry,Dry with ABC Permits,,3,,60975956.49445712,49270.65858687335
7,Washington,Historic Price Township,Dry,,,3,,44100955.23989529,28183.116100491494
8,Washington,Washington County,Wet,,,3,,1640774554.8414474,487644.1806787424
9,Washington,Historic Starr Hill Township,Dry,,,3,,57047776.30209842,40237.05350833346
10,Union,Historic Wesson Township,Dry,,,8,,55058627.04518238,32512.9110825433
11,Union,Historic Union Precinct Of Franklin Township,Dry,,,8,,41893992.27409126,27851.593715673374
12,Union,Historic Henderson Township,Dry,,,8,,70422357.62056096,36702.183781612424
13,Union,Historic Jackson Township,Dry,,,8,,150985631.44366074,59205.08809820871
14,Union,Historic Johnson Township,Dry,,,8,,330030712.22216535,77969.83071547454
15,Union,Union County,Wet,,,8,,1734655244.8793461,405552.2015515543
16,Woodruff,Woodruff County,Wet,Exception Augusta is Beer only,,6,,1533048374.7867167,284253.93580756424
17,Arkansas,Arkansas County,Wet,Exception City of Humphrey No Liquor,,7,,2686725055.0181313,355170.27786682773
18,Arkansas,Historic Humphrey Township,Wet,Restriction: No Liquor,,7,,2590088.28659169,12905.472853247797
19,Union,Historic Norphlet Township,Dry,,,8,,84042586.5388353,43515.0108827389
20,Union,Historic Three Creeks Township,Dry,,,8,,140224946.398145,59500.623130868444
21,Washington,Historic Valley Township,Dry,,,3,,92882969.48881684,55809.154252676126
22,Washington,Historic Vineyard Township,Dry,,,3,,43751593.91746189,29373.586934319526
23,Washington,Historic West Fork Township,Dry,,,3,,84628354.82665692,44050.91334299376
24,Washington,Historic White River Township,Dry,,,3,,94702890.55427122,46081.66270121458
25,Washington,Historic Winslow Township,Dry,,,3,,133546386.82764839,55781.82513685554
26,Carroll,Historic Coin Township,Dry,,,4,,47676021.99821798,28083.3161366329
27,Carroll,Historic Cabanal Township,Dry,,,4,,59448964.77456987,33398.2791701774
28,Cross,Cross County,Wet,Exception Hickory Ridge Township is Dry,,6,,1447533368.3592243,183993.0065739889
29,Cleveland,Historic Rowell Township,Dry,,,8,,89354734.95589527,46109.75242484508
30,Conway,Historic Austin Township,Dry,,,1,,69253600.79527433,38442.26551104454
31,Greene,Greene County,Wet,"Exception Bryan, Collier, Poland, Salem and Paragould Ward 4 are Dry",,6,,1320198882.609359,291574.2544566122
32,Cleveland,Cleveland County,Wet,,,8,,810568077.1020852,268184.20918385126
33,Carroll,Historic Liberty Township,Dry,,,4,,47542788.5847801,32326.485164323218
34,Cleveland,Historic Whiteoak Township,Dry,,,8,,65048106.6063922,56029.37064296565
35,Carroll,Historic Carrollton Township,Dry,,,4,,92365878.08061938,42147.037996921885
36,Carroll,Historic North Yocum Township,Dry,,,4,,48350590.72110166,32528.87538370378
37,Cleveland,Historic Redland Township,Dry,,,8,,229588756.07600352,91754.33634224228
38,Cleveland,Historic Lee Township,Dry,,,8,,107907497.4663122,48533.55123936429
39,Carroll,Historic Omega Township,Dry,,,4,,90049472.09636846,41595.855378117376
40,Carroll,Historic Piney Township,Dry,,,4,,41785967.56909592,29042.43536876689
41,Carroll,Historic Dryfork Township,Dry,,,4,,60202491.83172274,35616.037386307165
42,Carroll,Historic Osage Township,Dry,,,4,,116965217.68918794,51773.62715287195
43,Crittenden,Historic Tyronza Township,Dry,,,6,,185924086.36329076,63761.79012517953
44,Dallas,Historic Owen Township,Dry,,,10,,210179151.6062042,82672.2216453746
45,Greene,Historic Poland Township,Dry,,,6,,60673483.41015892,32463.894692429953
46,Carroll,Historic South Yocum Township,Dry,,,4,,45607837.47608896,31387.791019904198
47,Carroll,Historic Prairie NE Township,Dry,,,4,,20524710.61648912,25281.593426298863
48,Greene,Historic Bryan Township,Dry,,,6,,54486629.75593286,38154.33321080419
49,Washington,Historic Cane Hill Township,Dry,,,3,,90245580.9624781,50335.6509452135
50,Jefferson,Historic Humphrey Township,Wet,Restriction: No Liquor,,1,,800195.307310005,4818.190250204665
51,Cross,Parkin Archaeological State Park,Wet,Per ACT 655 AR Code 3-9-103,1733788800000,6,,451254.750416025,5138.944676288341
52,Jackson,Historic Barren Township,Dry,,,6,,91639403.75090152,38311.845828400605
53,Jackson,Jackson County,Wet,Exception Barren and Cow Lake Townships are Dry,,6,,1417793390.1304514,235307.69504267172
54,Cleveland,Historic Hurricane Township,Dry,,,8,,71409006.35487738,39495.53818957511
55,Carroll,Historic Long Creek Township,Dry,,,4,,113279732.81092204,48474.9727753027
56,Carroll,Historic NW & SW Prairie Township,Dry,Dry with ABC Permits,,4,,132620157.08709508,87974.9600175242
57,Cleveland,Historic Rison Township,Dry,,,8,,70537962.12633134,51797.63112823832
58,Jackson,Historic Cow Lake Township,Dry,,,6,,150954366.2602094,58430.073577183095
59,Jefferson,Jefferson County,Wet,"Exception Washington Township, No Liquor - Town of Humphrey",,1,,2242239529.250163,311970.9025224379
60,Cleveland,Historic Smith Township,Dry,,,8,,105685600.29424956,61898.4307197655
61,Greene,Historic Collier Township,Dry,,,6,,40441378.463836506,28302.296360273434
62,Calhoun,Historic Casewell Township,Dry,,,8,,93340471.47565489,52916.07339957691
63,Calhoun,Calhoun County,Wet,Exception of Casewell Township is Dry,,8,,1543353552.8469157,257657.3921489275
64,Carroll,Historic Hickory NW Township,Dry,,,4,,77553796.9432081,44257.813449027744
65,Dallas,Dallas County,Wet,"Exception Manchester, Nix and Owen Townships are Dry",,10,,1269961992.0182583,254610.63132331416
66,Dallas,Historic Manchester Township,Dry,Dry with ABC Permits,,10,,147382037.87331697,70936.0688949992
67,Dallas,Historic Nix Township,Dry,,,10,,101224397.5924704,56521.07992520826
