state_fips,state_abbr,county_name,total_alcohol_licenses,wet_dry_status,wet_cities_count,wet_cities,has_quota_drink,has_quota_package,has_nq_drink,has_nq_package,has_sunday_license,has_manufacturer,quota_drink_count,quota_package_count,nq_drink_count,nq_package_count,sunday_count,manufacturer_count,consumption_total,package_total,population_2020,quota_notes
21,KY,Adair,44,wet,1,Columbia,False,True,True,True,True,False,0,4,8,20,6,0,14,24,18903,
21,KY,Allen,45,wet,3,Franklin; SCOTTSVILLE; Scottsville,True,True,True,True,True,False,3,4,7,20,6,0,18,24,20588,
21,KY,Anderson,113,wet,2,LAWRENCEBURG; Lawrenceburg,True,True,True,True,True,True,4,9,21,28,12,5,41,37,23852,
21,KY,Ballard,12,wet,3,BARLOW; Barlow; La Center,False,True,True,True,True,False,0,1,3,4,2,0,5,5,7728,
21,KY,Barren,173,wet,4,Cave City; GLASGOW; Glasgow; Park City,True,True,True,True,True,False,7,16,21,64,29,0,72,80,44485,
21,KY,Bath,22,wet,2,Morehead; Owingsville,True,True,True,True,True,False,1,3,3,10,2,0,6,13,12750,
21,KY,Bell,59,wet,3,MIDDLESBORO; Middlesboro; Pineville,False,True,True,True,True,False,0,5,7,24,8,0,25,29,24097,
21,KY,Boone,502,wet,7,Covington; Crittenden; Erlanger; Florence; Independence; Union; Walton,True,True,True,True,True,True,41,49,134,111,95,5,288,161,135968,
21,KY,Bourbon,91,wet,1,Paris,True,True,True,True,True,True,8,7,24,23,13,3,50,30,20252,
21,KY,Boyd,176,wet,2,Ashland; Catlettsburg,True,True,True,True,True,False,7,12,32,55,31,0,85,67,48261,
21,KY,Boyle,169,wet,4,DANVILLE; Danville; Junction City; Perryville,True,True,True,True,True,True,13,10,42,39,34,5,98,49,30614,
21,KY,Bracken,33,wet,2,Augusta; Brooksville,True,True,True,True,True,True,3,3,8,10,6,1,17,13,8400,
21,KY,Breathitt,0,dry,0,,False,False,False,False,False,False,0,0,0,0,0,0,0,0,13718,Completely dry — zero alcohol licenses
21,KY,Breckinridge,21,wet,2,Hardinsburg; Leitchfield,False,True,True,True,False,True,0,3,3,12,0,1,4,15,20432,
21,KY,Bullitt,148,wet,6,Hillview; Louisville; Mt. Washington; SHEPHERDSVILLE; Shepherdsville; Taylorsville,True,True,True,True,True,True,7,16,25,59,17,3,50,76,82217,
21,KY,Butler,17,wet,1,Morgantown,False,True,True,True,True,False,0,2,3,9,2,0,5,11,12371,
21,KY,Caldwell,25,wet,1,Princeton,False,True,True,True,True,False,0,2,7,13,2,0,9,15,12649,
21,KY,Calloway,106,wet,1,Murray,True,True,True,True,True,True,7,7,22,34,20,1,57,41,37103,
