state_fips,license_type_code,license_type_name,license_category,permits_on_premise,permits_off_premise,permits_beer,permits_wine,permits_spirits,retail_channel,abv_limit,quota_limited,quota_notes,transferable,annual_fee_range,issuing_authority,statutory_reference,notes,research_status,research_source,last_verified_date
01,AL_LOUNGE1,Lounge Retail Liquor License - Class I,dual,True,True,True,True,True,bar_restaurant,,False,,True,,Alabama ABC Board,Ala. Code 28-3A,Class I allows on-premise and off-premise sales of all alcoholic beverages,draft,https://abc.alabama.gov/licensing,2026-03-24
01,AL_LOUNGE2,Lounge Retail Liquor License - Class II,off_premise,False,True,True,True,True,liquor_store,,False,,True,,Alabama ABC Board,Ala. Code 28-3A,Package store; off-premise only in original unopened containers,draft,https://abc.alabama.gov/licensing,2026-03-24
01,AL_CLUB,Club Retail Liquor License,dual,True,True,True,True,True,club,,False,,False,,Alabama ABC Board,Ala. Code 28-3A,On-premise 7 days; off-premise all days except Sunday; includes draft/keg beer,draft,https://abc.alabama.gov/licensing,2026-03-24
01,AL_REST,Restaurant Retail Liquor License,on_premise,True,False,True,True,True,bar_restaurant,,False,,True,,Alabama ABC Board,Ala. Code 28-3A,Primary business must be food sales; on-premises consumption only,draft,https://abc.alabama.gov/licensing,2026-03-24
01,AL_SPECIAL,Special Retail License,special_event,True,False,True,True,True,any,,False,,False,,Alabama ABC Board,Ala. Code 28-3A,Temporary special event or special retail license,draft,https://abc.alabama.gov/licensing,2026-03-24
01,AL_MFG200,Manufacturer License (Type 200),manufacturer,False,False,True,True,True,any,,False,,False,,Alabama ABC Board,Ala. Code 28-3A,Requires corresponding Federal TTB permit; covers beer liquor or table wine,draft,https://abc.alabama.gov/licensing,2026-03-24
01,AL_WHSL080,Liquor Wholesaler License (Type 080),wholesaler,False,False,True,True,True,any,,False,,False,,Alabama ABC Board,Ala. Code 28-3A,Receives shipments from licensed manufacturers/importers; sells at wholesale,draft,https://abc.alabama.gov/licensing,2026-03-24
01,AL_IMPORT,Importer License,distributor,False,False,True,True,True,any,,False,,False,,Alabama ABC Board,Ala. Code 28-3A,Imports alcoholic beverages for distribution to wholesalers,draft,https://abc.alabama.gov/licensing,2026-03-24
02,AK_BDL,Beverage Dispensary License,on_premise,True,False,True,True,True,bar_restaurant,,True,Limited by population per community,True,,Alaska AMCO/ABC Board,AS 04.11.090,Commonly known as a bar license; all alcoholic beverages on-premises,draft,https://www.commerce.alaska.gov/web/amco/AlcoholicBeverageLicenseTypes.aspx,2026-03-24
02,AK_REST,Restaurant or Eating Place License,on_premise,True,False,True,True,True,bar_restaurant,,True,,True,,Alaska AMCO/ABC Board,AS 04.11.100,For restaurants; food sales requirement,draft,https://www.commerce.alaska.gov/web/amco/AlcoholicBeverageLicenseTypes.aspx,2026-03-24
02,AK_CLUB,Club License,on_premise,True,False,True,True,True,club,,True,,False,,Alaska AMCO/ABC Board,AS 04.11.110,Private club; fraternal or social organization,draft,https://www.commerce.alaska.gov/web/amco/AlcoholicBeverageLicenseTypes.aspx,2026-03-24
02,AK_PKG,Package Store License,off_premise,False,True,True,True,True,liquor_store,,True,Limited by population per community,True,,Alaska AMCO/ABC Board,AS 04.11.150,Commonly known as a liquor store; sealed containers only,draft,https://www.commerce.alaska.gov/web/amco/AlcoholicBeverageLicenseTypes.aspx,2026-03-24
02,AK_BREW,Brewery License,manufacturer,True,True,True,False,False,any,,False,,False,,Alaska AMCO/ABC Board,AS 04.11.170,Type 1 small (up to 60000 bbl/yr) and Type 2 large (over 60000 bbl/yr),draft,https://www.commerce.alaska.gov/web/amco/AlcoholicBeverageLicenseTypes.aspx,2026-03-24
02,AK_WINERY,Winery License,farm_winery,True,True,False,True,False,any,,False,,False,,Alaska AMCO/ABC Board,AS 04.11.170,Manufacture and sale of wine from fruit or agricultural products,draft,https://www.commerce.alaska.gov/web/amco/AlcoholicBeverageLicenseTypes.aspx,2026-03-24
02,AK_DISTILL,Distillery License,manufacturer,True,True,False,False,True,any,,False,,False,,Alaska AMCO/ABC Board,AS 04.11.170,Manufacture and sale of distilled spirits,draft,https://www.commerce.alaska.gov/web/amco/AlcoholicBeverageLicenseTypes.aspx,2026-03-24
02,AK_WHSL,General Wholesale License,wholesaler,False,False,True,True,True,any,,False,,False,,Alaska AMCO/ABC Board,AS 04.11.160,Wholesale of all alcoholic beverages,draft,https://www.commerce.alaska.gov/web/amco/AlcoholicBeverageLicenseTypes.aspx,2026-03-24
