LICENSE_NO,BUSINESS_NAME,LEGAL_STRUCTURE,LICENSE_TYPE,RECORD_STATUS,EXPIRATION_DATE,EXPIRATION_STATUS,MUNICIPALITY,MANAGER_NAME,DBA,OFF_CATEGORY,ON_CATEGORY,OFF_TYPE,ON_TYPE,LICENSEE_CLASS,TRANSFER_FROM,TRANSFER_METHOD,LIC_HISTORY_BUSINESS_NAME,LICENSE_ISSUE_DATE,SPECIAL_LEGISLATION,CHAPTER,OF_THE_ACT,ST_NO,ADDRESS1,ADDRESS2,CITY,STATE,ZIP,FULL_PREMISE_ADDRESS,BUSINESS_ADDRESS
00011-CL-0002,Columbus Club Of Abington Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,William Sampson,KNIGHTS OF COLUMBUS,,All Alcoholic Beverages,,Club,Annual,,,,25946.0,No,,,254,Hancock Street,,Abington,MA,02351,"254 Hancock Street , Abington, MA 02351","254 Hancock Street , Abington, MA 02351"
00024-PK-0002,R F Owens Co Inc,Corporation,Off Premise Retail,Issued,46387.0,Active,ABINGTON,William M Trucchi,TRUCCHIS SUPERMARKET,Wines and Malt,,Package Store,,Annual,,,,27655.0,No,,,858,Bedford Street,,Abington,MA,02351,"858 Bedford Street , Abington, MA 02351","858 Bedford Street , Abington, MA 02351"
00021-VC-0002,Lewis V Dorsey Post 112 Am Leg Abington Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,Charles F Whitman,,,All Alcoholic Beverages,,Veterans Club,Annual,,,,30635.0,No,,,1027,Washington Street,P O Box 2016,Abington,MA,02351,"1027 Washington Street P O Box 2016, Abington, MA 02351","1027 Washington Street , P O Box 2016, Abington, MA 02351"
00002-RS-0002,For Petes Sake Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,Michael Costa,THE ABINGTON ALE HOUSE,,All Alcoholic Beverages,,Restaurant,Annual,,,,35319.0,No,,,1235,Bedford Street,,Abington,MA,02351,"1235 Bedford Street , Abington, MA 02351","1235 Bedford Street , Abington, MA 02351"
00007-RS-0002,Han Lee Group Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,Matthew V Hanley,J P RYANS TAVERN,,All Alcoholic Beverages,,Restaurant,Annual,,,,38611.0,No,,,246,Brockton Avenue,,Abington,MA,02351,"246 Brockton Avenue , Abington, MA 02351","246 Brockton Avenue , Abington, MA 02351"
00030-PK-0002,Smartstop Convenience Inc,Corporation,Off Premise Retail,Issued,46387.0,Active,ABINGTON,Baldevbhai N Patel,,Wines and Malt,,Package Store,,Annual,,,,39381.0,No,,,270,North Avenue,,Abington,MA,02351,"270 North Avenue , Abington, MA 02351","270 North Avenue , Abington, MA 02351"
00050-RS-0002,Mia Regazza,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,John J Martin,MIA REGAZZA,,All Alcoholic Beverages,,Restaurant,Annual,,,,39477.0,No,,,268,Washington Street,,Abington,MA,02351,"268 Washington Street , Abington, MA 02351","268 Washington Street , Abington, MA 02351"
00015-RS-0002,Cellar Tavern Group LLC,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,Nathan Elliott,THE CELLAR,,All Alcoholic Beverages,,Restaurant,Annual,,,,39854.0,No,,,221,221 North Avenue,,Abington,MA,02351,"221 221 North Avenue , Abington, MA 02351","221 221 North Avenue , Abington, MA 02351"
00061-RS-0002,Dotties House Inc,Corporation,On Premise Retail,Issued,46387.0,Active,ABINGTON,Paula M Demelo,SPENCERS PIZZA,,Wines and Malt,,Restaurant,Annual,,,,40074.0,No,,,123,Centre Avenue,,Abington,MA,02351,"123 Centre Avenue , Abington, MA 02351","123 Centre Avenue , Abington, MA 02351"
00064-PK-0002,Ravi Corp,Corporation,Off Premise Retail,Issued,46387.0,Active,ABINGTON,Hansaben K Patel,YOUR CONVENIENT STORE,Wines and Malt,,Package Store,,Annual,,,,40310.0,No,,,800,Brockton Avenue,,Abington,MA,02301,"800 Brockton Avenue , Abington, MA 02301","800 Brockton Avenue , Abington, MA 02301"
