name,board,type
Allegany County,Board of License Commissioners,county
Annapolis,Alcoholic Beverage Control Board,city
Anne Arundel County,Board of License Commissioners,county
Baltimore City,Liquor License Board,city
Baltimore County,Board of Liquor License Commissioners,county
Calvert County,Board of License Commissioners,county
Caroline County,Board of License Commissioners,county
Carroll County,Board of License Commissioners,county
Cecil County,Liquor Board,county
Charles County,Board of License Commissioners,county
Dorchester County,Board of License Commissioners,county
Frederick County,Liquor Board,county
Garrett County,Board of License Commissioners,county
Harford County,Liquor Control Board,county
Howard County,Board of License Commissioners,county
Kent County,Board of License Commissioners,county
Montgomery County,Alcohol Beverage Services,county
Prince George's County,Board of License Commissioners,county
Queen Anne's County,Board of License Commissioners,county
Somerset County,Board of License Commissioners,county
St. Mary's County,Alcohol Beverage Board,county
Talbot County,Liquor Board,county
Washington County,Liquor Board,county
Wicomico County,Board of License Commissioners,county
Worcester County,Board of License Commissioners,county
