state_fips,state_abbr,municipality_name,county_name,total_active_licenses,has_consumption_license,has_distribution_license,has_limited_distribution,has_club_license,has_hotel_license,has_manufacturer,consumption_count,distribution_count,limited_distribution_count,club_count,hotel_count,manufacturer_count,grocery_can_sell_alcohol,population_2020,max_consumption_quota,consumption_slots_remaining,max_distribution_quota,distribution_slots_remaining,is_over_consumption_quota,is_over_distribution_quota,quota_notes
42,PA,Abbott Twp,Potter,2,True,False,False,False,True,False,2,0,0,0,1,0,True,,5,3,,,False,,3 consumption slots available
42,PA,Abbottstown,Adams,4,True,False,False,True,True,True,1,0,0,1,1,1,True,1022,34,33,,,False,,33 consumption slots available
42,PA,Abington Twp,Montgomery,46,True,True,False,True,False,False,26,4,0,4,0,0,True,,285,259,,,False,,259 consumption slots available
42,PA,Adams Twp,Butler,24,True,True,False,True,True,True,15,2,0,5,1,1,True,,64,49,,,False,,49 consumption slots available
42,PA,Adamstown,Lancaster,5,True,True,False,False,True,True,1,1,0,0,1,1,True,1938,184,183,,,False,,183 consumption slots available
42,PA,Addison,Somerset,2,True,False,False,False,False,False,1,0,0,0,0,0,True,166,24,23,,,False,,23 consumption slots available
42,PA,Addison Twp,Somerset,1,True,False,False,False,False,False,1,0,0,0,0,0,True,,24,23,,,False,,23 consumption slots available
42,PA,Akron,Lancaster,1,True,False,False,False,False,False,1,0,0,0,0,0,True,4152,184,183,,,False,,183 consumption slots available
42,PA,Albany Twp,Berks,7,True,False,False,True,True,True,2,0,0,1,1,1,True,,142,140,,,False,,140 consumption slots available
42,PA,Albion,Erie,2,True,False,False,True,False,False,1,0,0,1,0,0,True,1528,90,89,,,False,,89 consumption slots available
42,PA,Alburtis,Lehigh,2,False,False,False,True,False,False,0,0,0,1,0,0,False,2596,124,124,,,False,,124 consumption slots available
42,PA,Aldan,Delaware,1,True,False,False,False,False,False,1,0,0,0,0,0,True,4244,192,191,,,False,,191 consumption slots available
42,PA,Aleppo Twp,Allegheny,1,True,False,False,False,False,False,1,0,0,0,0,0,True,,416,415,,,False,,415 consumption slots available
42,PA,Alexandria,Huntingdon,2,True,False,False,True,False,False,1,0,0,1,0,0,True,384,14,13,,,False,,13 consumption slots available
42,PA,Aliquippa,Beaver,22,True,True,False,True,False,False,10,2,0,8,0,0,True,9238,56,46,,,False,,46 consumption slots available
42,PA,Allegheny Twp,Blair,35,True,True,False,True,True,True,20,1,0,2,2,5,True,,40,20,,,False,,20 consumption slots available
42,PA,Allen Twp,Northampton,3,True,False,False,True,False,False,2,0,0,1,0,0,True,,104,102,,,False,,102 consumption slots available
42,PA,Allenport,Washington,3,True,False,False,True,False,False,2,0,0,1,0,0,True,484,69,67,,,False,,67 consumption slots available
42,PA,Allentown,Lehigh,162,True,True,False,True,True,True,88,14,0,17,6,14,True,125845,124,36,,,False,,36 consumption slots available
42,PA,Allison Twp,Clinton,1,False,False,False,True,False,False,0,0,0,1,0,0,False,,12,12,,,False,,12 consumption slots available
42,PA,Alsace Twp,Berks,5,True,True,False,True,False,True,1,1,0,1,0,1,True,,142,141,,,False,,141 consumption slots available
42,PA,Altoona,Blair,82,True,True,False,True,True,True,48,3,0,11,8,4,True,43963,40,-8,,,True,,Over consumption: 48/40 (grandfathered)
42,PA,Ambler,Montgomery,20,True,True,False,True,True,True,8,1,0,1,1,5,True,6807,285,277,,,False,,277 consumption slots available
42,PA,Ambridge,Beaver,20,True,True,False,True,True,True,12,1,0,4,1,2,True,6972,56,44,,,False,,44 consumption slots available
42,PA,Amity Twp,Berks,14,True,True,False,True,True,True,8,1,0,2,2,2,True,,142,134,,,False,,134 consumption slots available
42,PA,Amwell Twp,Washington,3,True,True,False,False,False,False,2,1,0,0,0,0,True,,69,67,,,False,,67 consumption slots available
42,PA,Annville Twp,Lebanon,8,True,False,False,True,False,True,4,0,0,3,0,1,True,,47,43,,,False,,43 consumption slots available
42,PA,Antis Twp,Blair,7,True,True,False,False,False,True,2,2,0,0,0,2,True,,40,38,,,False,,38 consumption slots available
42,PA,Antrim Twp,Franklin,4,True,False,False,False,False,True,3,0,0,0,0,1,True,,51,48,,,False,,48 consumption slots available
42,PA,Apollo,Armstrong,3,True,False,False,False,True,False,3,0,0,0,2,0,True,1615,21,18,,,False,,18 consumption slots available
42,PA,Ararat Twp,Susquehanna,1,True,False,False,False,False,False,1,0,0,0,0,0,True,,12,11,,,False,,11 consumption slots available
42,PA,Archbald,Lackawanna,18,True,True,False,True,False,True,11,1,0,5,0,1,True,7297,71,60,,,False,,60 consumption slots available
42,PA,Armagh Twp,Mifflin,6,True,False,False,True,True,False,5,0,0,1,1,0,True,,15,10,,,False,,10 consumption slots available
42,PA,Armenia Twp,Bradford,1,False,False,False,False,False,True,0,0,0,0,0,1,False,,19,19,,,False,,19 consumption slots available
42,PA,Armstrong Twp,Indiana,4,True,False,False,False,False,False,2,0,0,0,0,0,True,,27,25,,,False,,25 consumption slots available
42,PA,Arnold City,Westmoreland,8,True,True,False,True,False,False,5,1,0,2,0,0,True,4772,118,113,,,False,,113 consumption slots available
42,PA,Arona Borough,Westmoreland,1,True,False,False,False,False,False,1,0,0,0,0,0,True,255,118,117,,,False,,117 consumption slots available
42,PA,Ashland,Schuylkill,12,True,True,False,True,False,False,6,2,0,4,0,0,True,2471,47,41,,,False,,41 consumption slots available
42,PA,Ashley,Luzerne,3,True,False,False,True,False,False,2,0,0,1,0,0,True,2596,108,106,,,False,,106 consumption slots available
